SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM,COMMENTS
59,AT-04,22.0,Female,Indigenous,Wayuu,Co-habitation,1.0,3.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,5.0,1.0,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,2.0,2.0,,"race: ""habla el idoma"" #5: ""con trabajo se facilitan mas las casas"" #6: ""depende con quien se quede"" #8: ""igual"" #9: ""importante para ambos"" #34: ""no pasaba"" #35: ""solo mujeres"" #37: ""si no lo queria"" #38: ""no se ve"""
60,AT-05,37.0,Female,Other,,Co-habitation,1.0,18.0,2.0,2.0,1.0,1,4.0,3.0,4.0,4.0,10.0,1.0,3.0,10.0,10.0,1.0,1,2.0,30%,2.0,2.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,"#8: ""iguales"" #9: ""igual"" #11: ""iguales"" #29: ""estaba juen"""
61,AT-06,47.0,Male,Black,,Married,7.0,20.0,,2.0,2.0,2,3.0,3.0,3.0,3.0,10.0,4.0,1.0,10.0,10.0,1.0,0,2.0,30%,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2,"#2: ""iguales"" #8: ""iguales"" #9: ""iguales"" #28: ""poco"" #32: ""con permiso"" #33: ""pero era prohibado"""
62,AT-07,38.0,Male,Other,,Co-habitation,2.0,17.0,2.0,2.0,2.0,3,3.0,4.0,4.0,4.0,7.0,2.0,5.0,5.0,7.0,1.0,0,2.0,30%,1.0,1.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,"#2: ""iguales"" #6: ""los hijos debem acostumbrarse"" #8: ""por igual"" #11: ""la mujer es mejor, son mas organizadas"" #15: ""bajo ciertos criterios si"" #19: ""iguales""  #28: ""poco"" #32: ""con permiso"""
63,AT-08,43.0,Female,Indigenous,Kankuama,Single,,25.0,2.0,2.0,1.0,2,4.0,4.0,3.0,4.0,8.0,5.0,1.0,8.0,8.0,1.0,1,2.0,40%,1.0,1.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2,"#3: ""hay hombres que no les gusta para que las mujeres no pengan, independensa economica"" #5: ""desde su experienca si"" #6: ""la madre es quien da el carino y el amor"" #8: ""a la mujer no sele tiene en cuenta mucho en cuestion de idelazgo politico, no we la da oportunidad"" #9: ""para ambos"" #11: ""iguales"" #12: ""ser ama de casa tambien es trabajo y debena remunerarse"" #20: ""en la guerilla la disciplina era por igual y debian organizase como tal las superiores tenian el mismo compatamiento tanto hombres como mujeres"" #22: ""el ordendel dia era importante"" #35: ""los hombres a veces traian ets cuando tenian relaciones por fera y debian cuidarse"" ""habo casos"" #36: ""reaen el ingress tenian que planificar"" extra: ""las mujeres no podian tener relaciones con aules pero los hombres si y siempre hablan problemas por eso"" ""las sanciones eran las consecuencias para las mujeres que 6 hacian y las sanciones eran constructiuas"" ""habian ninos que el peramilitarismo despareados cuando se daban cuenta que sus pabires eran guerrilleros, los torturaban o asescinaban a sus panentes"" ""la guerrilla la transformo politicamente, las experiendas la ayodaron a inadurar y afantar situadones"" ""su ingreso que javen deado irse le gusto su locha le gostaba ser camalografa de guerra lo que menos le gusto fue ser enfermera. salio con el proceso de paz"" ""extrana la solidaridad y el companerismo, esa familia hoy en dia todos estan en lo soyo guardaba la esperanza que todo eso siguiera pero cambio. avidaron sus prinapios"" ""me ha tocado disimolar poque me han reciminado, no me gustan las fotos por eso."" ""la dificultad mas grande es la insegaridad, collen peligro"" ""no poedo tener hijos eso, fue lo que hizo que mentos separasa con mi expareja faque despues de la guerra lo que todos quieren es so familia. y yo no podia darsela"""
64,AT-09,32.0,Male,Black,,Single,1.0,6.0,2.0,2.0,2.0,4,3.0,4.0,4.0,2.0,10.0,1.0,5.0,10.0,10.0,1.0,1,2.0,40%,3.0,2.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2,"#20: ""manalos medios"" #34: ""no lo vivio"""
65,AT-10,44.0,Male,Other,,Co-habitation,3.0,30.0,2.0,2.0,1.0,1,4.0,4.0,4.0,2.0,10.0,5.0,1.0,10.0,10.0,1.0,1,2.0,5%,1.0,1.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,2.0,1.0,0.0,3,"#2: ""iguales"" #9: ""iguales"" #11: ""iguales"" #14: ""por necesidad"""
66,AT-11,27.0,Female,Other,,Co-habitation,3.0,3.0,2.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,5.0,1.0,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,3,"#8: ""iguales"" #9: ""igual"" #11: ""iguales"" #32: ""con permiso del comandante"" #35: ""mujeres"" #36: ""no se permifian"" #37: ""no se permifian"""
67,AT-12,52.0,Male,Mestizo,,Single,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,AT-13,50.0,Male,White,,Co-habitation,1.0,28.0,2.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,10.0,1.0,10.0,10.0,1.0,1,2.0,50%,2.0,2.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,Common,"#32: ""permiso del comandante"""
69,AT-14,45.0,Male,Mestizo,,Co-habitation,2.0,30.0,2.0,2.0,2.0,3,4.0,4.0,4.0,4.0,10.0,3.0,4.0,10.0,10.0,1.0,1,2.0,40%,2.0,2.0,0.0,1.0,Not at all,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2,"#2: ""iguales"" #9: ""iguales"" #11: ""iguales"" #14: ""necesidad de estado"" #24: ""se sentiria avgallaso"""
70,VP-01,59.0,Male,White,,Co-habitation,5.0,22.0,2.0,2.0,1.0,4,4.0,4.0,4.0,2.0,1.0,10.0,5.5,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1,"#11: ""las mujeres lo narejan mejor que los hombren"" #14: ""[or la necesidad"" #22: ""por cielos se compertia; era por horario"" ""1 hora al dia para lavar"" #28: ""poquito"" #32: ""yo tuve 1"" #33: ""restingido pero se hacia"" #35: ""aqui se penian el Norplant""  #37: ""en ese aspecto si habia mujeres que eran bruas con eso"" #38: ""Hoyen dia, siento que las mujeres son sancion mas libres"""
71,VP-02,32.0,Female,Indigenous,Guigua + Cuencuamo,Single,1.0,16.0,2.0,2.0,1.0,2,4.0,4.0,3.0,4.0,10.0,10.0,5.5,10.0,5.5,1.0,0,3.0,60%,2.0,2.0,0.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3,"#28: ""eso lo qui aprendiendo estendo alli"" #32: ""easi simpre habia que explicar el comandante se vera mas un los hombres que mujeres"""
72,VP-03,26.0,Female,Indigenous,Aruaca,Single,4.0,11.0,2.0,2.0,1.0,4,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1,2.0,10%,2.0,2.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,3.0,3,"""No nos permitian hablas Aruaco por motivos de seguridad"" ""ingreso como a los 10 u 11 anos, por mitlo"" #17: ""antes nos pegaban mas aqui no se usa casi"" ""Pero solia suceder seguido"" #18: ""Habia queno decian nada, entonces no se les podia sancionas"" #21: ""antes yo aveces me dejaba mas pq no quena que me sancionaran, En canbio ahora se lo develvo. Quiense va a dejar?"" #22: ""eso los tomabamos por iguales"" #26: ""A mi me en senearon que en el monte"" #32: ""pero toca pedir permiso"" #34: ""Les daban duro, y los sancioneban"" #37: ""les deban una pastilla"""
73,VP-04,44.0,Female,Other,,Single,1.0,22.0,0.0,2.0,2.0,1,4.0,4.0,1.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,0,3.0,30%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2,"#32: ""habia que pedir permiso solo lost hombres pero no las mujeres"""
74,VP-05,35.0,Male,Indigenous,Cancuama,Co-habitation,1.0,21.0,2.0,2.0,1.0,1,4.0,4.0,1.0,3.0,10.0,5.5,1.0,5.5,5.5,1.0,1,1.0,20%,2.0,2.0,0.0,1.0,1,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3,
75,VP-06,24.0,Female,Indigenous,Aruaca,Co-habitation,2.0,10.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,10.0,10.0,10.0,,10.0,1,2.0,60%,1.0,1.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3,"#22: ""era por turnos"" #28: ""saliendo ya supe mucho mas"" ""uno apende bastante"" #33: ""sie era comun, pero no se permitia"" #34: ""ninguno"" #38: ""alla uno estaba consciente de que si ambos pelean, ambos los sancioran"""
76,VP-07,56.0,Female,Mestiza,,Co-habitation,6.0,31.0,2.0,2.0,1.0,2,4.0,4.0,4.0,,5.5,5.5,5.5,10.0,10.0,1.0,0,1.0,50%,3.0,,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,3,"#12: ""Depende"" #14: ""el estado tiene la culpa"" #15: ""bajo el amidado de un medico"" #19: ""igual"" #20: ""habia una sola"" #22: ""a veces le hacen el favor a un companero"" #25: ""Bachiller me toco ensenor"" #28: ""up, marcha up lider estudiantil e impulsader"" #36: ""irresponsabilidad"" #38: ""comendante tenra que ester pendiente de que usaren bien el anticonceptivo 'el condon si' 'por ganas de tener hijas'"""
77,VP-08,42.0,Female,White,,Single,3.0,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,5.5,10.0,10.0,10.0,1.0,1,3.0,50%,2.0,2.0,0.0,3.0,0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2,"#3: ""casa pa los hombres son machistas es una forma de tenerme dominada aqui en le casa; cuidend a los pelados corinada discriminacion"" #12: ""Noooo"" #14: ""aveces le hecen por no trabejar pero solo por una calamidad"" #15: ""por le sociedad que nos discrimina"" #17: ""ejemple de pener cachos"" ""eso ya no se ve"" #22: ""era notativo; depende del personel que haya"" #25: ""y ahora seme olvido"" #27 ""MUJER"" #28: ""de 18 anos"" #33: ""sancienable!"" #38: ""ya se ha cambiado como es la cosa"""
78,VP-09,56.0,Male,Mestizo,,Co-habitation,2.0,35.0,2.0,2.0,1.0,2,4.0,4.0,4.0,3.0,5.5,5.5,5.5,10.0,10.0,1.0,0,2.0,30%,1.0,,0.0,2.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,3,"#2: ""Pq 'Lo que ella hace es para losa'"" #5: ""Sena bueno!"" #12: ""Depende, le ama de casa no debreia ser una eselavitad.'"" #14: ""situacion economica no les que de otra opcion"" #15: ""feto enfermo, deforme, o violacion"" #18: ""Nitamopoco vise versa"" #19: ""igual"" #21: ""frente 35 ~60 de 200"" #22: ""como compendente = poco mas bien lavar - tiene demasia - das funciones"" #25: ""5* de primeria y ensenar a leer"" #28: ""yo era de la juco a tenia liderazzo de estudiante"" ""lider manege 75 jovenes; beca a 3* festival de voz en Medellin; por buen militante"" #30: ""ese diento de que a forzabamos a la gente a es ingresor totalmente Falso!"" #32: ""con permiso sancion si mentia"" #34: ""pq. entonces le quitaba escondian credibilidas a la guerrilla, reputacion""#37: ""Habia que ver aquien se lo entresaban"" #38: ""Noplant - se aprobo 7* conferencia 1982"" ""La hermendad/sorondad nos hace balta"" ""A cada quien ahora ve per si mismo."" ""Alla todo nos daban!"" ""Anoranza"""
79,VP-10,26.0,Female,Mestizo,,Co-habitation,1.0,10.0,2.0,2.0,2.0,2,4.0,4.0,3.0,2.0,10.0,10.0,1.0,10.0,10.0,1.0,0,1.0,50%,3.0,2.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1,"#23: ""cuando era uno solo, tocaba limpiar menos"" #27: ""No usamosese termino"" #28: ""igual ya me eotan acusando (el ejercito) de eso"" #32: ""por lo general no les importa la a menos que biolaran el reginon, como hacerlo durante la guerdia"" #33: ""Mucho"" #34: ""casino los custionaban, en cambio a las mujeres si"" #37: ""degrado"""
80,VP-11,35.0,Male,Mestizo,,Co-habitation,,15.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,40%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,3,"#6: ""Todo eso debe de ser plenedo; si yo trabajo, tambien le dey un espacio a mis hijos"" #12: ""si mi mujer no trabaja entonces me toca mas ami aportar."" #16: ""No consique mujeres virgenes, ni ellas mismes. Si no conseiquen novio pues ellas misnuas"" #19: ""por le general, pero a veces la mujer mia reabe mas."" #22: ""eso era diano. A cada quien le tocaba diferentes dias"" #29: ""uno como que engieza de nuevo en la guerrilla"" #33: ""A veces se iban los muchachos; desertaban"" ""Nos sancionaban a veces"" #35: ""se utiliziba Norplant, ingecciones, pastillas, etc."" ""Lo que le easera bien a la muchacha"" ""A veces les caia mal el anticonceltivo"" #37: ""Dependia del frente, y el momento, la ubiocacion estrategica. del comandente, etc."""
81,VP-12,49.0,Female,Other,,Single,1.0,30.0,2.0,1.0,1.0,3,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1,3.0,60%,3.0,3.0,0.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2,"#2: ""aqui en colombia si, pa tanel"" #3: ""per el machismo"" #5: ""conbecciones"" #9: ""tiene que ser por igual"" #11: ""con igual de capaces"" #12: ""ella hace ambos, y siempre ha sido asi"" #17: ""para que se entiendan y conozeran, yo creo que en mujer"" #25: ""tada la primeria"" #27: ""normal"" #29: ""aclare masce n la querrilla"" #32: ""pero relaciones gay no"""
82,VP-13,55.0,Female,White,,Co-habitation,1.0,38.0,1.0,2.0,1.0,1,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,0,3.0,30%,,,0.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,2.0,2,"#6: ""el cuidado de 1 no se lo de hadio mas"" #8: ""habemos mujeres muy el la guerrilla a veces eramos mas barracas que los hombres"" #9: ""uno nuntiene que ser menos que nadie, si no igual"" #10: ""yo no puedo acepter que otra mujer me humille a mi solo per ser pobre; yo no tengo pq lavar las prendas intimas de nadie mas. En la guerrilla cada quen punto."" #11: ""todas somos, Hasta mas emprendedoras."" #12: ""no, no, no. esos tambien cansan."" ""trabajos de casa tier ninos"" #13: ""unas pq les guste, otras pq nacen."" ""otras per necesidad"" #14: ""es por necesidad"" #15: ""le toca a uno."" #15: ""cuendo el nino eota deforme. una sobrine que y hijo la ecografia y no tenia cabeza. 8 meses"" #16: ""decia 1/0 nuna tendria un hijo"" ""sin no hay abranse! compezbian"" #17: ""Ni cuando la gente era catolica."" #23: ""Dependia del # de personal; Es una rueda"" #25: ""casi tenia Bachiller"" #28: ""Alla nos ensenaban Mucho. Curosos, enfermia, radio, de Todo, sestreria, yo fui. #32: ""si no, eso seria como una prostitucion Teniamos que pedir permiso el fusilamiento"" #33: ""NUNCA"" #35: ""inmediatamente #37: ""Depende de la mujer solo si yo queria"" #38: ""si se nota que se va perdiendo"""
83,VP-14,39.0,Male,Indigenous,Huiwa,Co-habitation,,16.0,1.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,8.0,1.0,10.0,10.0,1.0,1,2.0,50%,2.0,2.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1,"#2: ""solo un 10% de los aqui trabajan"" #5: ""las mujeres deben ganarse su sueldo pq uno sin sueldo no es nada"" #6: ""depende como los a costumbren"" #11: ""a veces mas las mujeres pq son mas responsables, uno es borrachim"" #14: ""simepre y cuando no tea en su familia"" #20: ""como 2"" #26: ""Apenas ahorita estoy aprendiendo ~llevo 4 anos"" #32: ""solo con permiso"" #33: ""no normalmente un delito"" #35: ""hombres = a veces, mujeres = simpre"""
84,VP-15,23.0,Female,Indigenous,Guaya,Single,1.0,5.0,2.0,2.0,2.0,,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.5,1.5,5.5,1,2.0,50%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,3,"#4: ""enfermeria"" #6: ""depende"" #27: ""!"" #28: ""poquitico"" #32: ""tiene reglamento"" #37: ""Depende de la persona a veces regalar, a veces abordo"" ""caletear-hacerlo a escandidas"""
85,VP-16,36.0,Female,White,,Co-habitation,1.0,20.0,2.0,1.0,1.0,1,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,3.0,55%,3.0,3.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,3.0,3,"#3: ""No, el deberia sentise orgulloso."" #4: ""pq ayuda mas"" #5: ""CLARO Nadie los cuida como uno mismo"" #22: ""Ranchar, criar gallinas, puercos, pizcos, perros"" #30: ""si, claro cada quien tenia supareja"""
86,VP-17,52.0,Male,Mestizo,,Single,2.0,12.0,2.0,2.0,1.0,2,4.0,4.0,4.0,1.0,4.0,10.0,5.5,10.0,10.0,3.0,1,3.0,60%,1.0,1.0,0.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2,"#2: ""es companera o esclava? no, eso no es asi."" #4: ""conducion, RN es el grupo que nos fallo"" #6: ""hipocresia, los ninos son vulnerables"" #9: ""si la companera esta enferma, uno le lavaba la ropa."" ""comparerismo"" #11: ""logico"" #12: ""logico"" #13: ""por desempleo"" #14: ""la necesidad tiene cara de perro"" ""de vzla hay muchas"" ""sexualmente las explotan"" #15: ""violacion, deforma"" ""se vuelve una mujer asesina, homicidio"" #16: ""abrirse jaja"" #17: ""eso era la epoca de Cristo, cuando uno le rogaba como 4 anos"" #19: ""es le primero por aqui, se ven con el ojo morado"" ""la rina"" #20: ""habia, MAS mujeres que hombres"" #23: ""todos por igual"" #26: ""alla aprendio todo"" #28: ""pero aprendi y desperte estando alla."" #32: ""com permiso"" #34: ""hombres = solamente!"" ""mujeres = las podian fusilar era SERIO!"" #38: ""LOGICO. Ahora no hay disciplina"""
87,VP-18,46.0,Male,Mestizo,,Co-habitation,3.0,13.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1,2.0,30%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2,"""union libre"" #6: ""pues me quedo yo cuidando"" #9: ""para ambos por igual; Bueno eso fue lo que no ensenaron en la guerrila."" ""en el regolamente y estatuto"" #14: ""lo que pasa es que es el mismo estado el que hace eso. Vienen muchas mujeres de vzla a hacer eso"" #15: ""depende violacion, defecto feto, etc"" #22: ""diario"" #25: ""ya tenia Bachiller"" #26: ""pero no dijo pq"" #27: ""me dirian que soy marica"" #29: ""claro!"" ""era muy machista"" #33: ""muy poco"" #34: ""se notaba mas"" ""a la mujer le quedaba muy dificil pq llamaba mas atencion"" #37: ""1/2 neses per 10 pq eran normal menos"" #38: ""Ahora se ve mucho que se dejan pegar"""
