SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM
75,VP-06,24.0,Female,Indigenous,Aruaca,Co-habitation,2.0,10.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,10.0,10.0,10.0,,10.0,1,2.0,60%,1.0,1.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3
76,VP-07,56.0,Female,Mestiza,,Co-habitation,6.0,31.0,2.0,2.0,1.0,2,4.0,4.0,4.0,,5.5,5.5,5.5,10.0,10.0,1.0,0,1.0,50%,3.0,,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,3
77,VP-08,42.0,Female,White,,Single,3.0,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,5.5,10.0,10.0,10.0,1.0,1,3.0,50%,2.0,2.0,0.0,3.0,0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2
78,VP-09,56.0,Male,Mestizo,,Co-habitation,2.0,35.0,2.0,2.0,1.0,2,4.0,4.0,4.0,3.0,5.5,5.5,5.5,10.0,10.0,1.0,0,2.0,30%,1.0,,0.0,2.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,3
79,VP-10,26.0,Female,Mestizo,,Co-habitation,1.0,10.0,2.0,2.0,2.0,2,4.0,4.0,3.0,2.0,10.0,10.0,1.0,10.0,10.0,1.0,0,1.0,50%,3.0,2.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1
80,VP-11,35.0,Male,Mestizo,,Co-habitation,,15.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,40%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,3
81,VP-12,49.0,Female,Other,,Single,1.0,30.0,2.0,1.0,1.0,3,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1,3.0,60%,3.0,3.0,0.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
82,VP-13,55.0,Female,White,,Co-habitation,1.0,38.0,1.0,2.0,1.0,1,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,0,3.0,30%,,,0.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,2.0,2
83,VP-14,39.0,Male,Indigenous,Huiwa,Co-habitation,,16.0,1.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,8.0,1.0,10.0,10.0,1.0,1,2.0,50%,2.0,2.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1
84,VP-15,23.0,Female,Indigenous,Guaya,Single,1.0,5.0,2.0,2.0,2.0,,4.0,3.0,3.0,2.0,1.0,1.0,1.0,3.5,1.5,5.5,1,2.0,50%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,3
85,VP-16,36.0,Female,White,,Co-habitation,1.0,20.0,2.0,1.0,1.0,1,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,3.0,55%,3.0,3.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,3.0,3
86,VP-17,52.0,Male,Mestizo,,Single,2.0,12.0,2.0,2.0,1.0,2,4.0,4.0,4.0,1.0,4.0,10.0,5.5,10.0,10.0,3.0,1,3.0,60%,1.0,1.0,0.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
87,VP-18,46.0,Male,Mestizo,,Co-habitation,3.0,13.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,5.5,10.0,10.0,1.0,1,2.0,30%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
88,VP-19,47.0,Female,Mestizo,,Widow,1.0,30.0,2.0,2.0,1.0,4,4.0,4.0,2.0,4.0,10.0,10.0,1.0,5.5,5.5,1.0,1,2.0,10%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3
89,VP-20,68.0,Male,Indigenous,Pijau,Single,2.0,35.0,,2.0,1.0,,4.0,4.0,4.0,2.0,10.0,7.5,1.0,10.0,10.0,1.0,0,2.0,40%,3.0,3.0,0.0,1.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2
90,VP-21,38.0,Male,Other,,Co-habitation,1.0,18.0,2.0,2.0,1.0,4,3.0,4.0,3.0,4.0,10.0,5.5,10.0,10.0,10.0,1.0,1,2.0,30%,2.0,2.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2
91,OP-01,46.0,Female,Mestiza,,Co-habitation,,25.0,2.0,2.0,2.0,2,4.0,4.0,4.0,3.0,10.0,9.0,1.0,7.0,10.0,1.0,0,2.0,50%,2.0,2.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,2.0,2.0,2
92,OP-02,37.0,Female,Mestiza,,Co-habitation,4.0,7.0,1.0,2.0,1.0,1,3.0,1.0,3.0,1.0,8.0,1.0,1.0,10.0,10.0,1.0,0,1.0,20%,3.0,3.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,,1.0,2
93,OP-03,44.0,Male,Indigenous,,Divorced,1.0,26.0,2.0,1.0,2.0,2,3.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,10.0,1.0,0,2.0,70%,3.0,3.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,2
94,OP-04,48.0,Female,Mestiza,,Single,7.0,28.0,2.0,2.0,1.0,1,4.0,4.0,4.0,1.0,10.0,10.0,1.0,10.0,10.0,1.0,0,2.0,50%,2.0,1.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2
95,OP-05,38.0,Female,Indigenous,,Married,2.0,19.0,2.0,2.0,2.0,1,4.0,4.0,1.0,3.0,9.0,1.0,1.0,10.0,1.0,1.0,0,2.0,80%,3.0,3.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,0.0,0.0,3
96,OP-06,34.0,Female,White,,Co-habitation,2.0,10.0,2.0,2.0,1.0,3,4.0,4.0,4.0,4.0,8.0,1.0,1.0,10.0,3.0,1.0,0,2.0,60%,3.0,3.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,3
97,OP-07,39.0,Male,Indigenous,,Co-habitation,3.0,10.0,0.0,0.0,1.0,3,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,5.0,1.0,0,2.0,70%,3.0,3.0,0.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,3
98,OP-08,62.0,Male,Black,,Single,2.0,32.0,2.0,2.0,2.0,3,4.0,4.0,4.0,4.0,8.0,1.0,1.0,10.0,1.0,1.0,0,2.0,70%,3.0,3.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2
99,OP-09,25.0,Male,Mestizo,,Single,,3.0,2.0,,1.0,1,4.0,4.0,4.0,3.0,1.0,10.0,1.0,3.0,8.0,1.0,0,2.0,70%,3.0,3.0,0.0,2.0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,2
100,OP-10,39.0,Female,Indigenous,,Co-habitation,2.0,14.0,2.0,2.0,2.0,2,4.0,4.0,4.0,3.0,9.0,10.0,1.0,6.0,8.0,1.0,0,2.0,50%,3.0,2.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
101,OP-11,50.0,Male,Mestizo,,Single,,26.0,2.0,2.0,1.0,3,2.0,4.0,4.0,4.0,10.0,5.0,1.0,10.0,5.0,1.0,0,2.0,20%,3.0,3.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
102,OP-12,29.0,Female,Indigenous,,Single,1.0,16.0,1.0,,1.0,4,4.0,4.0,4.0,4.0,10.0,1.0,6.0,10.0,1.0,1.0,1,2.0,10%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,3.0,2
103,OP-13,45.0,Male,Other,,Co-habitation,2.0,24.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,1,3.0,40%,3.0,3.0,0.0,2.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2
104,OP-14,39.0,Female,Mestiza,,Single,2.0,20.0,2.0,2.0,1.0,1,4.0,4.0,4.0,4.0,9.0,4.0,1.0,10.0,10.0,1.0,1,3.0,40%,3.0,3.0,0.0,3.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,0.0,2
105,OP-15,40.0,Male,White,,Co-habitation,2.0,21.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,20%,3.0,3.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
106,OP-16,43.0,Male,Other,,Co-habitation,1.0,24.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,1,3.0,,3.0,3.0,0.0,2.0,,,,,,,,,,,,,
107,OP-17,61.0,Male,Mestizo,,Co-habitation,3.0,28.0,2.0,1.0,2.0,4,4.0,4.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,1,1.0,30%,3.0,3.0,0.0,2.0,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2
108,OP-18,45.0,Female,White,,Co-habitation,2.0,30.0,1.0,2.0,1.0,3,4.0,4.0,4.0,1.0,10.0,10.0,1.0,7.0,1.0,1.0,0,2.0,30%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2
109,OP-19,60.0,Female,White,,Single,2.0,30.0,1.0,1.0,1.0,2,4.0,4.0,4.0,4.0,9.0,6.0,1.0,10.0,1.0,1.0,1,2.0,20%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
110,OP-20,38.0,Male,Indigenous,Kankuamo,Co-habitation,2.0,17.0,2.0,2.0,1.0,3,3.0,4.0,4.0,4.0,10.0,4.0,1.0,10.0,10.0,1.0,0,3.0,10%,3.0,3.0,0.0,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
111,OP-21,26.0,Male,Black,,Single,3.0,10.0,2.0,2.0,1.0,3,4.0,4.0,3.0,3.0,10.0,6.0,1.0,10.0,10.0,1.0,0,3.0,20%,3.0,3.0,0.0,2.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2
112,OP-22,25.0,Male,"Indigenous, ""Wayu""",Wayu,Co-habitation,2.0,11.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,10.0,9.0,10.0,10.0,6.0,1,2.0,40%,3.0,3.0,0.0,1.0,1,0.0,,,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,2
113,OP-23,25.0,Female,"Indigenous, ""Wayu""",Wayu,Single,,9.0,2.0,2.0,1.0,3,3.0,4.0,4.0,3.0,10.0,10.0,10.0,1.0,1.0,1.0,0,1.0,60%,3.0,3.0,0.0,1.0,1,1.0,1.0,,0.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,2
114,OP-24,43.0,Male,Black,,Co-habitation,,20.0,2.0,2.0,2.0,3,4.0,4.0,4.0,1.0,10.0,10.0,2.0,10.0,1.0,1.0,0,2.0,40%,3.0,3.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,2
115,OP-25,43.0,Male,Mestizo,,Married,,16.0,2.0,2.0,1.0,1,4.0,4.0,4.0,4.0,10.0,10.0,10.0,1.0,1.0,1.0,0,2.0,30%,3.0,3.0,0.0,3.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
116,OP-26,49.0,Male,"Indigenous, ""Kankuamo""",,Co-habitation,4.0,9.0,1.0,2.0,1.0,4,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,10.0,,3.0,40%,3.0,3.0,0.0,3.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,4.0,3.0,1.0,2
117,OP-27,36.0,Male,"Indigenous, ""Kankuamo""",,Co-habitation,4.0,15.0,1.0,2.0,2.0,3,4.0,4.0,4.0,4.0,1.0,6.0,8.0,10.0,10.0,1.0,1,3.0,60%,3.0,3.0,0.0,3.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
118,OP-28,36.0,Male,Black,,Co-habitation,4.0,22.0,1.0,2.0,2.0,1,4.0,4.0,1.0,4.0,5.0,10.0,10.0,10.0,1.0,1.0,1,3.0,70%,3.0,3.0,3.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,4.0,1.0,0.0,3
119,AP-01,35.0,Female,Indigenous,Kankuamo,Co-habitation,,20.0,2.0,2.0,1.0,2,4.0,3.0,3.0,4.0,10.0,5.0,5.0,10.0,10.0,1.0,1,2.0,30%,3.0,3.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2
120,AP-02,28.0,Female,Indigenous,,Co-habitation,2.0,9.0,2.0,2.0,1.0,2,3.0,4.0,4.0,2.0,8.0,6.0,7.0,10.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,3.0,0,,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2
121,AP-03,39.0,Male,Mestizo,,Co-habitation,1.0,15.0,2.0,2.0,1.0,2,4.0,4.0,4.0,3.0,6.0,5.0,3.0,6.0,7.0,1.0,1,2.0,45%,3.0,3.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,2
122,AP-04,50.0,Female,Indigenous,,Co-habitation,1.0,30.0,2.0,2.0,1.0,4,2.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,1.0,0,2.0,2%,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2
123,AP-05,49.0,Male,Black,,Co-habitation,14.0,19.0,2.0,2.0,1.0,4,4.0,3.0,4.0,3.0,10.0,10.0,1.0,7.0,10.0,1.0,1,3.0,10%,3.0,3.0,0.0,3.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,3
124,AP-06,42.0,Male,Mestizo,,Married,,21.0,2.0,2.0,1.0,3,4.0,4.0,3.0,4.0,10.0,7.0,2.0,10.0,10.0,1.0,1,3.0,30%,3.0,3.0,0.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,0.0,0.0,3
125,AP-07,37.0,Female,White,,Co-habitation,2.0,16.0,2.0,2.0,1.0,1,4.0,3.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0,3.0,80%,3.0,2.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,0.0,1.0,2
126,AP-08,30.0,Male,Indigenous,,Single,,17.0,2.0,2.0,1.0,2,2.0,4.0,3.0,4.0,10.0,5.0,1.0,8.0,10.0,1.0,0,2.0,70%,3.0,3.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,4.0,3
127,AP-09,38.0,Male,Mestizo,,Co-habitation,1.0,18.0,2.0,2.0,1.0,1,4.0,4.0,4.0,4.0,5.0,5.0,1.0,10.0,10.0,1.0,0,,70%,3.0,3.0,0.0,2.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,4.0,0.0,0.0,3
128,AP-10,22.0,Female,Indigenous,,Co-habitation,,8.0,2.0,1.0,1.0,2,4.0,4.0,3.0,2.0,10.0,9.0,1.0,8.0,10.0,1.0,0,3.0,20%,3.0,3.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,3.0,0.0,4.0,3
129,AP-11,51.0,Male,White,,Co-habitation,2.0,24.0,2.0,2.0,1.0,3,4.0,4.0,4.0,3.0,10.0,7.0,3.0,7.0,10.0,1.0,1,2.0,40%,2.0,2.0,0.0,1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3
130,AP-12,38.0,Female,Mestiza,,Co-habitation,2.0,12.0,2.0,2.0,2.0,3,4.0,3.0,3.0,2.0,7.0,3.0,6.0,9.0,8.0,1.0,0,2.0,20%,1.0,1.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,1
131,AP-13,38.0,Female,Indigenous,,Single,0.0,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,1.0,10.0,10.0,10.0,1.0,1,2.0,60%,2.0,2.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2
132,AP-14,52.0,Male,Black,,Co-habitation,1.0,17.0,2.0,2.0,1.0,3,4.0,4.0,4.0,2.0,9.0,3.0,9.0,10.0,10.0,1.0,0,3.0,40%,3.0,3.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2
133,AP-15,24.0,Female,Indigenous,,Co-habitation,1.0,9.0,2.0,2.0,1.0,3,4.0,3.0,3.0,2.0,10.0,1.0,1.0,10.0,10.0,1.0,1,2.0,70%,1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,3
134,AP-16,45.0,Male,Mestizo,,Co-habitation,2.0,18.0,2.0,2.0,2.0,4,3.0,4.0,3.0,3.0,4.0,1.0,6.0,10.0,10.0,1.0,1,2.0,40%,3.0,2.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2
135,AP-17,40.0,Female,Mestiza,,Co-habitation,1.0,23.0,2.0,2.0,1.0,2,4.0,4.0,3.0,3.0,10.0,1.0,6.0,10.0,10.0,1.0,0,2.0,10%,1.0,1.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2
136,AP-18,32.0,Female,Other,,Co-habitation,,18.0,2.0,2.0,1.0,2,4.0,4.0,3.0,3.0,10.0,3.0,5.0,10.0,10.0,1.0,0,2.0,2%,1.0,1.0,0.0,3.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,2
137,AP-19,29.0,Female,Indigenous,Wayuu,Single,,12.0,2.0,2.0,1.0,2,4.0,3.0,4.0,4.0,10.0,4.0,2.0,10.0,10.0,1.0,0,1.0,70%,1.0,1.0,0.0,3.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2
138,AP-20,41.0,Female,Indigenous,Bari,Co-habitation,3.0,25.0,2.0,1.0,1.0,3,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0,2.0,50%,2.0,2.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2
139,AP-21,36.0,Female,Other,,Single,,20.0,2.0,2.0,1.0,2,4.0,3.0,4.0,4.0,10.0,5.0,3.0,10.0,10.0,1.0,1,2.0,6%,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2
140,AP-22,45.0,Male,Indigenous,Sinu,Co-habitation,,17.0,2.0,2.0,1.0,3,3.0,4.0,3.0,4.0,10.0,10.0,5.0,10.0,10.0,1.0,0,2.0,40%,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,3.0,1.0,1.0,2
141,AP-23,33.0,Female,Indigenous,Wayuu,Co-habitation,2.0,15.0,2.0,2.0,1.0,4,4.0,4.0,3.0,4.0,8.0,6.0,1.0,8.0,10.0,1.0,0,2.0,50%,3.0,1.0,0.0,2.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2
142,AP-24,55.0,Male,Mestizo,,Single,3.0,35.0,2.0,2.0,1.0,4,4.0,4.0,4.0,3.0,10.0,6.0,10.0,10.0,10.0,1.0,1,3.0,40%,3.0,3.0,0.0,2.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,2
143,AP-25,45.0,Female,Mestiza,,Co-habitation,5.0,4.0,2.0,2.0,1.0,3,4.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,8.0,1.0,0,2.0,30%,2.0,2.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1
144,AP-26,37.0,Female,Other,,Co-habitation,1.0,18.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,10.0,6.0,10.0,10.0,1.0,0,2.0,60%,2.0,3.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1
145,AP-27,29.0,Female,White,,Separated,2.0,9.0,1.0,2.0,1.0,4,4.0,3.0,3.0,4.0,6.0,5.0,1.0,5.0,10.0,1.0,1,3.0,40%,1.0,1.0,0.0,2.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,0.0,3
146,AP-28,43.0,Female,Indigenous,Wayuu,Co-habitation,2.0,14.0,2.0,2.0,1.0,4,4.0,4.0,4.0,2.0,10.0,1.0,1.0,10.0,10.0,1.0,0,2.0,60%,1.0,1.0,3.0,3.0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,2
147,AP-29,32.0,Female,White,,Co-habitation,1.0,18.0,2.0,2.0,1.0,4,4.0,4.0,4.0,4.0,6.0,1.0,1.0,10.0,10.0,1.0,0,2.0,50%,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,2
148,AP-30,39.0,Female,Other,,Single,,23.0,2.0,1.0,1.0,4,4.0,4.0,3.0,4.0,7.0,1.0,1.0,3.0,7.0,1.0,0,2.0,50%,2.0,2.0,0.0,2.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,3.0,2.0,1.0,3
149,AP-31,39.0,Male,Indigenous,Kankuamo,Co-habitation,,20.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,5.0,1.0,3.0,3.0,10.0,1.0,0,1.0,40%,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,1
150,BOG-01,45.0,Female,Mestiza,,Single,,32.0,1.0,1.0,1.0,2,2.0,4.0,4.0,1.0,10.0,1.0,5.0,5.0,3.0,1.0,1,1.0,40%,3.0,1.0,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,
151,BOG-02,45.0,Female,Mestiza,,Co-habitation,4.0,32.0,1.0,1.0,2.0,3,1.0,3.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,0,1.0,40%,3.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,
152,VUP-01,22.0,Female,Indigenous,Guayu,Single,1.0,5.0,2.0,,2.0,2,4.0,2.0,2.0,2.0,10.0,10.0,10.0,7.0,10.0,1.0,,3.0,50%,3.0,3.0,,,,,,,1.0,1.0,0.0,0.0,,4.0,2.0,2.0,
153,VUP-02,52.0,Female,Black,,Single,1.0,42.0,2.0,2.0,2.0,Other,,4.0,4.0,1.0,10.0,1.0,1.0,10.0,10.0,1.0,0,3.0,50%,3.0,3.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0,2.0,0.0,
